# MGM_Star_index J_Mag e_J_Mag M_dust e_M_dust det
238 11.028 0.023 1.6 0.32 1
239 15.422 0.012 8.0 0.36 1
240 14.2 0.007 1.4 0.35 0
245 13.892 0.006 1.3 0.33 0
249 13.442 0.004 2.2 0.36 1
250 11.832 0.023 148.2 0.4 1
251 13.923 0.005 1.5 0.37 0
252 14.623 0.014 1.5 0.37 0
253 14.409 0.008 4.1 0.35 1
256 14.204 0.009 16.0 0.34 1
258 14.689 0.007 2.5 0.36 1
259 13.575 0.005 39.7 0.32 1
262 12.183 0.023 4.8 0.33 1
263 11.169 0.023 2.4 0.36 1
264 16.721 0.017 5.1 0.34 1
265 12.854 0.024 2.8 0.34 1
267 13.835 0.004 60.0 0.35 1
269 14.375 0.006 79.8 0.37 1
271 13.155 0.004 5.7 0.35 1
272 12.232 0.036 15.5 0.36 1
273 16.115 0.024 1.8 0.36 1
274 14.061 0.005 7.8 0.32 1
275 14.702 0.009 1.4 0.32 1
276 13.603 0.01 65.1 0.34 1
277 11.144 0.021 1.2 0.29 0
279 14.606 0.013 11.1 0.35 1
280 13.573 0.005 1.7 0.43 0
281 14.531 0.007 2.1 0.32 1
282 13.977 0.01 3.5 0.32 1
283 11.93 0.027 4.6 0.4 1
284 10.96 0.024 31.5 0.35 1
286 12.55 0.024 1.4 0.34 0
289 12.745 0.023 1.4 0.35 0
290 13.992 0.005 3.0 0.3 1
291 12.644 0.023 1.2 0.31 0
294 14.188 0.006 5.2 0.32 1
295 11.616 0.021 1.5 0.35 1
296 14.26 0.011 20.1 0.29 1
297 12.535 0.023 1.3 0.32 0
299 15.53 0.012 1.4 0.35 0
302 12.726 0.023 1.3 0.32 0
303 10.436 0.023 1.3 0.34 0
304 13.415 0.009 1.3 0.32 0
305 13.654 0.005 1.4 0.32 1
306 17.48 0.031 1.3 0.3 1
307 12.528 0.021 127.8 0.33 1
308 13.772 0.005 2.7 0.29 1
309 14.106 0.006 1.2 0.29 0
310 15.746 0.016 1.7 0.31 1
311 15.209 0.009 5.5 0.36 1
312 9.068 0.021 1.4 0.35 0
313 13.26 0.007 7.6 0.32 1
314 13.873 0.005 1.3 0.32 0
316 13.263 0.012 1.2 0.29 0
317 11.856 0.024 1.3 0.32 0
318 15.838 0.014 1.2 0.29 0
320 10.117 0.024 7.2 0.29 1
321 17.964 0.032 1.3 0.31 1
322 12.676 0.024 3.8 0.32 1
323 13.39 0.004 6.5 0.31 1
325 13.849 0.005 1.2 0.3 0
326 14.52 0.009 1.2 0.3 0
327 13.399 0.006 1.2 0.29 0
328 13.652 0.005 16.8 0.3 1
329 14.767 0.007 1.2 0.31 0
330 12.763 0.023 8.4 0.31 1
332 16.497 0.018 1.6 0.31 1
334 13.915 0.006 4.2 0.33 1
335 12.241 0.023 1.2 0.29 0
336 15.38 0.013 4.7 0.29 1
337 14.07 0.005 48.4 0.3 1
338 11.402 0.022 1.2 0.3 0
339 14.425 0.009 10.0 0.33 1
340 12.515 0.025 18.1 0.3 1
342 11.686 0.026 4.0 0.31 1
343 12.439 0.022 1.1 0.28 0
346 12.733 0.025 4.2 0.27 1
347 15.681 0.012 3.3 0.32 1
348 14.097 0.007 21.2 0.32 1
349 13.667 0.005 53.5 0.29 1
350 13.611 0.008 78.6 0.29 1
351 12.524 0.024 1.2 0.31 0
356 12.153 0.007 1.3 0.32 0
357 14.681 0.008 4.1 0.31 1
359 9.081 0.03 1.2 0.3 1
361 9.877 0.022 1.2 0.3 0
364 12.951 0.024 1.8 0.28 1
371 13.179 0.011 256.6 0.46 1
372 12.242 0.022 1.9 0.31 1
374 20.613 0.158 2.6 0.31 1
375 13.315 0.005 1.3 0.32 0
376 11.188 0.028 1.4 0.34 0
377 12.537 0.023 13.3 0.35 1
380 12.311 0.022 1.7 0.3 1
381 15.066 0.009 2.5 0.34 1
382 14.222 0.005 2.1 0.31 1
383 12.196 0.024 51.9 0.29 1
387 14.846 0.015 13.8 0.3 1
388 13.84 0.006 1.3 0.34 0
389 14.155 0.011 1.2 0.29 0
395 12.31 0.024 8.4 0.31 1
399 13.861 0.005 194.1 0.34 1
400 15.005 0.011 10.9 0.32 1
403 18.024 0.05 10.2 0.31 1
409 14.173 0.008 1.3 0.32 0
410 15.478 0.019 1.2 0.3 0
414 13.597 0.006 3.0 0.34 1
415 13.63 0.005 3.8 0.29 1
416 16.128 0.013 1.3 0.32 0
418 15.408 0.012 1.3 0.32 0
419 16.222 0.013 1.4 0.34 0
421 15.878 0.037 207.2 0.42 1
424 14.448 0.016 7.3 0.32 1
425 17.754 0.04 9.7 0.31 1
427 10.878 0.022 1.2 0.3 0
428 15.658 0.014 66.0 0.34 1
429 12.63 0.025 38.2 0.35 1
431 13.789 0.014 1.2 0.29 0
434 16.705 0.021 22.0 0.33 1
435 7.221 0.019 1.7 0.31 1
441 12.768 0.026 1.3 0.32 0
442 18.693 0.057 1.2 0.3 0
443 15.296 0.028 1.2 0.3 1
