# MGM_Star_index J_Mag e_J_Mag M_dust e_M_dust det
1065 15.237 0.009 10.8 0.33 1
1066 10.905 0.034 2.9 0.34 1
1069 16.674 0.04 1.9 0.37 1
1070 17.161 0.032 1.5 0.38 0
1071 12.167 0.002 2.1 0.36 1
1072 13.097 0.002 1.5 0.38 0
1073 12.272 0.005 1.5 0.37 0
1074 13.998 0.002 3.9 0.35 1
1075 12.978 0.023 1.3 0.34 0
1076 12.835 0.007 1.5 0.39 0
1077 11.947 0.022 1.5 0.38 0
1079 15.293 0.004 1.5 0.37 0
1080 14.584 0.005 1.6 0.39 0
1082 17.187 0.046 1.4 0.34 0
1083 15.846 0.032 1.8 0.35 1
1084 13.176 0.001 1.7 0.42 0
1085 12.296 0.026 1.4 0.35 0
1086 15.565 0.012 91.3 0.38 1
1088 11.348 0.023 21.9 0.35 1
1090 15.069 0.014 3.2 0.33 1
1091 9.904 0.03 1.7 0.42 0
1095 14.046 0.004 6.4 0.38 1
1096 13.827 0.014 1.6 0.4 0
1097 13.434 0.01 1.5 0.38 0
1098 12.553 0.024 1.7 0.35 1
1099 16.07 0.008 1.5 0.37 0
